Restabfall;Gelber Sack;Papiertonne;Hackgutabholdienst
08.01.2020;11.01.2020;21.01.2020;02.04.2020
21.01.2020;31.01.2020;18.02.2020;22.10.2020
04.02.2020;21.02.2020;17.03.2020;
18.02.2020;13.03.2020;14.04.2020;
03.03.2020;03.04.2020;12.05.2020;
17.03.2020;24.04.2020;08.06.2020;
31.03.2020;15.05.2020;07.07.2020;
15.04.2020;06.06.2020;04.08.2020;
28.04.2020;26.06.2020;01.09.2020;
12.05.2020;17.07.2020;29.09.2020;
26.05.2020;07.08.2020;27.10.2020;
09.06.2020;28.08.2020;24.11.2020;
23.06.2020;18.09.2020;21.12.2020;
07.07.2020;09.10.2020;;
21.07.2020;30.10.2020;;
04.08.2020;20.11.2020;;
18.08.2020;11.12.2020;;
01.09.2020;;;
15.09.2020;;;
29.09.2020;;;
13.10.2020;;;
27.10.2020;;;
10.11.2020;;;
24.11.2020;;;
08.12.2020;;;
21.12.2020;;;